tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags,tcp.len,tcp.window_size
443,54323,1,1,0x0010,1460,16
443,54323,1461,1,0x0010,1460,16
443,54323,2921,1,0x0018,690,16
54323,443,1,3611,0x0010,0,257
54325,443,1,1,0x0011,0,256
54325,443,2,1,0x0014,0,0
54328,443,1,1,0x0011,0,254
54347,443,0,0,0x0002,0,64240
54276,443,1,1,0x0018,70,255
54276,443,71,1,0x0018,46,255
54276,443,117,1,0x0018,3346,255
443,54323,3611,1,0x0010,1460,16
54323,443,1,5071,0x0010,0,257
443,54323,5071,1,0x0010,1460,16
443,54323,6531,1,0x0018,690,16
54323,443,1,7221,0x0010,0,257
443,54323,7221,1,0x0010,1460,16
443,54323,8681,1,0x0010,1460,16
54323,443,1,10141,0x0010,0,257
443,54323,10141,1,0x0018,679,16
54300,443,1,1,0x0018,37,256
54348,443,0,0,0x0002,0,64240
54323,443,1,10820,0x0010,0,254
443,54323,10820,1,0x0010,1460,16
443,54323,12280,1,0x0010,1460,16
443,54323,13740,1,0x0018,722,16
54323,443,1,14462,0x0010,0,257
443,54323,14462,1,0x0010,1460,16
443,54323,15922,1,0x0010,1460,16
443,54323,17382,1,0x0018,722,16
54323,443,1,18104,0x0010,0,257
443,54323,18104,1,0x0010,1460,16
54323,443,1,19564,0x0010,0,257
443,54323,19564,1,0x0010,1460,16
443,54323,21024,1,0x0018,722,16
443,54325,1,2,0x0010,0,83
54323,443,1,21746,0x0010,0,257
443,54328,1,2,0x0010,0,83
443,54347,0,1,0x0012,0,42340
54347,443,1,1,0x0010,0,131328
54347,443,1,1,0x0018,1896,131328
443,54323,21746,1,0x0010,1460,16
443,54323,23206,1,0x0010,1460,16
54323,443,1,24666,0x0010,0,257
443,54323,24666,1,0x0018,722,16
443,54276,1,71,0x0010,0,291
443,54276,1,117,0x0010,0,291
443,54276,1,117,0x0018,46,291
443,54276,47,3037,0x0010,0,425
443,54276,47,3463,0x0018,63,425
54276,443,3463,110,0x0010,0,255
443,54348,0,1,0x0012,0,26883
54348,443,1,1,0x0010,0,131328
54348,443,1,1,0x0018,311,131328
443,54300,1,38,0x0018,33,191
443,54300,34,38,0x0018,31,191
443,54300,65,38,0x0011,0,191
54300,443,38,66,0x0010,0,255
54300,443,38,66,0x0014,0,0
54323,443,1,25388,0x0010,0,254
54349,443,0,0,0x0002,0,64240
54309,443,1,1,0x0018,200,254
54309,443,201,1,0x0018,39,254
54309,443,240,1,0x0018,1794,254
443,54323,25388,1,0x0010,1460,16
443,54323,26848,1,0x0010,1460,16
443,54323,28308,1,0x0018,722,16
54323,443,1,29030,0x0010,0,257
443,54347,1,1461,0x0010,0,42496
443,54347,1,1897,0x0010,0,42496
443,54347,1,1897,0x0010,1460,42496
443,54347,1461,1897,0x0018,1460,42496
443,54347,2921,1897,0x0018,302,42496
54347,443,1897,3223,0x0010,0,131328
54347,443,1897,3223,0x0018,318,131328
443,54323,29030,1,0x0010,1460,16
443,54323,30490,1,0x0010,1460,16
443,54323,31950,1,0x0018,722,16
54323,443,1,32672,0x0010,0,257
443,54323,32672,1,0x0010,1460,16
443,54323,34132,1,0x0010,1460,16
443,54323,35592,1,0x0018,722,16
54323,443,1,36314,0x0010,0,257
443,54348,1,312,0x0010,0,28160
443,54348,1,312,0x0018,147,28160
54348,443,312,148,0x0018,1853,131072
443,54323,36314,1,0x0010,1460,16
443,54323,37774,1,0x0010,1460,16
443,54323,39234,1,0x0018,722,16
54323,443,1,39956,0x0010,0,257
443,54349,0,1,0x0012,0,42340
54349,443,1,1,0x0010,0,131328
54349,443,1,1,0x0018,1928,131328
443,54309,1,201,0x0010,0,63
443,54309,1,201,0x0018,35,63
443,54309,36,240,0x0018,39,63
443,54309,75,2034,0x0010,0,63
54309,443,2034,75,0x0010,0,254
443,54309,75,2034,0x0018,1082,63
54309,443,2034,1157,0x0018,35,258
443,54323,39956,1,0x0010,1460,16
443,54323,41416,1,0x0010,1460,16
443,54323,42876,1,0x0018,722,16
54323,443,1,43598,0x0010,0,257
443,54347,3223,2215,0x0018,242,42496
54347,443,2215,3465,0x0018,374,131072
443,54323,43598,1,0x0010,1460,16
54323,443,1,45058,0x0010,0,257
443,54323,45058,1,0x0010,1460,16
443,54323,46518,1,0x0018,722,16
54323,443,1,47240,0x0010,0,257
443,54323,47240,1,0x0010,1460,16
443,54323,48700,1,0x0010,1460,16
54323,443,1,50160,0x0010,0,257
443,54323,50160,1,0x0018,722,16
443,54348,148,1772,0x0010,0,46080
443,54348,148,2165,0x0010,0,48896
54323,443,1,50882,0x0010,0,254
443,54323,50882,1,0x0010,1460,16
443,54323,52342,1,0x0010,1460,16
54323,443,1,53802,0x0010,0,257
443,54323,53802,1,0x0018,754,16
443,54348,148,2165,0x0018,1110,48896
443,54349,1,1461,0x0010,0,42496
443,54349,1,1929,0x0010,0,42496
443,54349,1,1929,0x0018,137,42496
54349,443,1929,138,0x0018,51,131072
54349,443,1980,138,0x0018,374,131072
443,54323,54556,1,0x0010,1460,16
443,54323,56016,1,0x0010,1460,16
443,54323,57476,1,0x0018,754,16
54323,443,1,58230,0x0010,0,257
54348,443,2165,1258,0x0018,890,130048
443,54309,1157,2069,0x0010,0,63
443,54323,58230,1,0x0010,1460,16
443,54323,59690,1,0x0010,1460,16
443,54323,61150,1,0x0018,754,16
54323,443,1,61904,0x0010,0,257
443,54347,3465,2589,0x0018,756,42496
54349,443,2354,138,0x0011,0,131072
443,54323,61904,1,0x0010,1460,16
443,54323,63364,1,0x0010,1460,16
54323,443,1,64824,0x0010,0,257
443,54323,64824,1,0x0018,754,16
54323,443,1,65578,0x0010,0,254
54347,443,2589,4221,0x0010,0,130304
443,54323,65578,1,0x0010,1460,16
443,54323,67038,1,0x0010,1460,16
443,54323,68498,1,0x0018,754,16
54323,443,1,69252,0x0010,0,257
443,54323,69252,1,0x0010,1460,16
443,54323,70712,1,0x0010,1460,16
443,54323,72172,1,0x0018,754,16
54323,443,1,72926,0x0010,0,257
443,54349,138,2354,0x0010,0,42496
443,54349,138,2354,0x0018,756,42496
54349,443,2355,894,0x0014,0,0
443,54323,72926,1,0x0010,1460,16
443,54323,74386,1,0x0010,1460,16
443,54323,75846,1,0x0018,786,16
54323,443,1,76632,0x0010,0,257
443,54349,894,2355,0x0011,0,42496
443,54348,1258,3055,0x0010,0,51968
443,54323,76632,1,0x0010,1460,16
443,54323,78092,1,0x0010,1460,16
443,54323,79552,1,0x0010,1460,16
54323,443,1,81012,0x0010,0,257
443,54323,81012,1,0x0010,1460,16
443,54323,82472,1,0x0018,1460,16
443,54323,83932,1,0x0018,81,16
54323,443,1,84013,0x0010,0,257
443,54348,1258,3055,0x0018,459,51968
443,54348,1717,3055,0x0018,156,51968
443,54348,1873,3055,0x0018,159,51968
54348,443,3055,1873,0x0010,0,131328
54348,443,3055,2032,0x0018,86,131072
54289,443,1,1,0x0018,310,511
443,54348,2032,3141,0x0010,0,51968
54348,443,3141,2032,0x0018,86,131072
443,54348,2032,3141,0x0018,64,51968
54348,443,3227,2096,0x0010,0,131072
443,54323,84013,1,0x0010,1460,16
443,54323,85473,1,0x0010,1460,16
443,54323,86933,1,0x0018,786,16
443,54323,87719,1,0x0010,1460,16
443,54323,89179,1,0x0010,1460,16
443,54323,90639,1,0x0018,818,16
443,54323,91457,1,0x0010,1460,16
443,54323,92917,1,0x0010,1460,16
443,54323,94377,1,0x0018,818,16
443,54323,95195,1,0x0010,1460,16
443,54323,96655,1,0x0010,1460,16
443,54323,98115,1,0x0018,818,16
443,54323,98933,1,0x0010,1460,16
443,54323,100393,1,0x0010,1460,16
443,54323,101853,1,0x0018,818,16
54323,443,1,90639,0x0010,0,257
54323,443,1,102671,0x0010,0,257
443,54323,102671,1,0x0010,1460,16
443,54323,104131,1,0x0010,1460,16
443,54323,105591,1,0x0018,818,16
443,54323,106409,1,0x0010,1460,16
443,54323,107869,1,0x0010,1460,16
443,54323,109329,1,0x0018,850,16
443,54323,110179,1,0x0010,1460,16
443,54323,111639,1,0x0010,1460,16
443,54323,113099,1,0x0018,850,16
54323,443,1,113949,0x0010,0,257
443,54348,2096,3227,0x0018,64,51968
443,54289,1,311,0x0018,54,425
54289,443,311,55,0x0018,716,511
54348,443,3227,2160,0x0010,0,131072
54151,443,1,1,0x0018,58,515
54172,443,1,1,0x0018,58,515
443,54323,113949,1,0x0010,1460,16
443,54323,115409,1,0x0010,1460,16
443,54323,116869,1,0x0010,1460,16
443,54323,118329,1,0x0010,1460,16
54323,443,1,119789,0x0010,0,257
443,54323,119789,1,0x0018,1460,16
443,54323,121249,1,0x0010,1460,16
443,54323,122709,1,0x0010,1460,16
443,54323,124169,1,0x0010,1460,16
443,54323,125629,1,0x0010,1460,16
54323,443,1,127089,0x0010,0,257
443,54323,127089,1,0x0018,1460,16
54323,443,1,128549,0x0010,0,257
443,54323,128549,1,0x0018,396,16
443,54323,128945,1,0x0010,1460,16
443,54323,130405,1,0x0010,1460,16
443,54323,131865,1,0x0010,1460,16
443,54323,133325,1,0x0010,1460,16
54323,443,1,134785,0x0010,0,257
443,54323,134785,1,0x0018,1460,16
443,54323,136245,1,0x0018,209,16
54323,443,1,136454,0x0010,0,257
443,54323,136454,1,0x0010,1460,16
54323,443,1,137914,0x0010,0,257
443,54323,137914,1,0x0010,1460,16
443,54323,139374,1,0x0018,850,16
54323,443,1,140224,0x0010,0,257
443,54323,140224,1,0x0010,1460,16
443,54323,141684,1,0x0010,1460,16
443,54323,143144,1,0x0018,850,16
54323,443,1,143994,0x0010,0,257
443,54323,143994,1,0x0010,1460,16
443,54323,145454,1,0x0010,1460,16
443,54323,146914,1,0x0018,850,16
54323,443,1,147764,0x0010,0,257
443,54323,147764,1,0x0010,1460,16
443,54323,149224,1,0x0010,1460,16
443,54323,150684,1,0x0018,839,16
54323,443,1,151523,0x0010,0,257
443,54289,55,1027,0x0010,0,425
443,54151,1,59,0x0018,47,2048
443,54172,1,59,0x0018,47,2046
54151,443,59,48,0x0010,0,515
54172,443,59,48,0x0010,0,515
443,54323,151523,1,0x0010,1460,16
443,54323,152983,1,0x0010,1460,16
443,54323,154443,1,0x0018,882,16
54323,443,1,155325,0x0010,0,257
443,54316,1,1,0x0018,31,83
443,54316,32,1,0x0011,0,83
54316,443,1,33,0x0010,0,256
443,54323,155325,1,0x0010,1460,16
443,54323,156785,1,0x0010,1460,16
443,54323,158245,1,0x0018,882,16
54323,443,1,159127,0x0010,0,257
443,54289,55,1027,0x0018,458,425
443,54323,159127,1,0x0010,1460,16
443,54323,160587,1,0x0010,1460,16
54323,443,1,162047,0x0010,0,257
443,54323,162047,1,0x0018,882,16
54323,443,1,162929,0x0010,0,253
443,54323,162929,1,0x0010,1460,16
443,54323,164389,1,0x0010,1460,16
443,54323,165849,1,0x0018,882,16
54323,443,1,166731,0x0010,0,257
54289,443,1027,513,0x0010,0,509
443,54323,166731,1,0x0010,1460,16
443,54323,168191,1,0x0010,1460,16
54323,443,1,169651,0x0010,0,257
443,54323,169651,1,0x0018,882,16
54323,443,1,170533,0x0010,0,253
443,54323,170533,1,0x0010,1460,16
443,54323,171993,1,0x0010,1460,16
443,54323,173453,1,0x0018,914,16
54323,443,1,174367,0x0010,0,257
443,54323,174367,1,0x0010,1460,16
54323,443,1,175827,0x0010,0,257
443,54323,175827,1,0x0010,1460,16
443,54323,177287,1,0x0018,914,16
54323,443,1,178201,0x0010,0,257
54316,443,1,33,0x0011,0,256
54316,443,2,33,0x0014,0,0
54350,443,0,0,0x0002,0,64240
443,54323,178201,1,0x0010,1460,16
443,54323,179661,1,0x0010,1460,16
443,54323,181121,1,0x0018,914,16
443,54323,182035,1,0x0010,1460,16
443,54323,183495,1,0x0010,1460,16
443,54323,184955,1,0x0018,914,16
443,54323,184955,1,0x0018,914,16
443,54323,185869,1,0x0010,1460,16
443,54323,187329,1,0x0010,1460,16
443,54323,188789,1,0x0018,914,16
443,54323,189703,1,0x0010,1460,16
443,54323,191163,1,0x0010,1460,16
443,54323,192623,1,0x0018,914,16
443,54323,193537,1,0x0010,1460,16
443,54323,194997,1,0x0010,1460,16
443,54323,196457,1,0x0018,914,16
443,54323,197371,1,0x0010,1460,16
443,54323,198831,1,0x0010,1460,16
443,54323,200291,1,0x0018,914,16
443,54323,178201,1,0x0010,1460,16
54323,443,1,185869,0x0010,0,257
54323,443,1,193537,0x0010,0,257
54323,443,1,197371,0x0010,0,257
54323,443,1,201205,0x0010,0,257
54323,443,1,201205,0x0010,0,257
443,54323,201205,1,0x0010,1460,16
443,54323,202665,1,0x0010,1460,16
54323,443,1,204125,0x0010,0,257
443,54323,204125,1,0x0018,914,16
54323,443,1,205039,0x0010,0,253
443,54323,205039,1,0x0010,1460,16
443,54323,206499,1,0x0010,1460,16
443,54323,207959,1,0x0018,914,16
54323,443,1,208873,0x0010,0,257
443,54350,0,1,0x0012,0,42340
54350,443,1,1,0x0010,0,65536
54350,443,1,1,0x0018,1928,65536
443,54316,33,2,0x0010,0,83
443,54323,208873,1,0x0010,1460,16
443,54323,210333,1,0x0010,1460,16
443,54323,211793,1,0x0018,914,16
54323,443,1,212707,0x0010,0,257
443,54323,212707,1,0x0010,1460,16
443,54323,214167,1,0x0010,1460,16
54323,443,1,215627,0x0010,0,257
443,54200,1,1,0x0018,27,501
443,54323,216541,1,0x0010,1460,16
443,54323,218001,1,0x0010,1460,16
443,54323,219461,1,0x0018,914,16
443,54323,220375,1,0x0010,1460,16
443,54323,221835,1,0x0010,1460,16
443,54323,223295,1,0x0018,946,16
443,54350,1,1461,0x0010,0,42496
443,54350,1,1929,0x0010,0,42496
443,54350,1,1929,0x0010,1460,42496
443,54350,1461,1929,0x0018,1460,42496
443,54350,2921,1929,0x0018,302,42496
443,54323,224241,1,0x0010,1460,16
443,54323,225701,1,0x0010,1460,16
443,54323,227161,1,0x0018,946,16
443,54323,228107,1,0x0010,1460,16
443,54323,229567,1,0x0010,1460,16
443,54323,231027,1,0x0018,946,16
443,54323,231973,1,0x0010,1460,16
443,54323,233433,1,0x0010,1460,16
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54350,443,1929,3223,0x0010,0,65536
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
54323,443,1,215627,0x0010,0,257
443,54323,234893,1,0x0018,946,16
54350,443,1929,3223,0x0018,318,65536
54323,443,1,215627,0x0010,0,257
443,54323,215627,1,0x0018,914,16
54323,443,1,235839,0x0010,0,257
54323,443,1,235839,0x0018,35,257
443,54323,235839,1,0x0010,1460,16
54323,443,36,237299,0x0010,0,257
443,54323,237299,1,0x0010,1460,16
54323,443,36,238759,0x0010,0,257
443,54323,238759,1,0x0018,946,16
443,54323,239705,36,0x0010,0,16
54200,443,1,28,0x0010,0,516
443,54323,239705,36,0x0010,1460,16
443,54323,241165,36,0x0010,1460,16
443,54323,242625,36,0x0018,946,16
54323,443,36,243571,0x0010,0,257
443,54323,243571,36,0x0010,1460,16
443,54323,245031,36,0x0010,1460,16
443,54323,246491,36,0x0018,946,16
54323,443,36,247437,0x0010,0,257
443,54323,247437,36,0x0010,1460,16
443,54323,248897,36,0x0010,1460,16
54323,443,36,250357,0x0010,0,257
443,54323,250357,36,0x0018,946,16
54323,443,36,251303,0x0010,0,253
443,54350,3223,2247,0x0018,242,42496
54350,443,2247,3465,0x0018,374,65280
443,54323,251303,36,0x0010,1460,16
443,54323,252763,36,0x0010,1460,16
443,54323,254223,36,0x0018,946,16
54323,443,36,255169,0x0010,0,257
443,54323,255169,36,0x0010,1460,16
443,54323,256629,36,0x0010,1460,16
443,54323,258089,36,0x0018,935,16
54323,443,36,259024,0x0010,0,257
443,54323,259024,36,0x0010,1460,16
443,54323,260484,36,0x0010,1460,16
443,54323,261944,36,0x0018,978,16
54323,443,36,262922,0x0010,0,257
443,54323,262922,36,0x0010,1460,16
443,54323,264382,36,0x0010,1460,16
443,54323,265842,36,0x0018,978,16
54323,443,36,266820,0x0010,0,257
443,54350,3465,2621,0x0018,756,42496
443,54323,266820,36,0x0010,1460,16
443,54323,268280,36,0x0010,1460,16
54323,443,36,269740,0x0010,0,257
443,54323,269740,36,0x0018,978,16
54323,443,36,270718,0x0010,0,253
54350,443,2621,4221,0x0010,0,64512
443,54323,270718,36,0x0010,1460,16
443,54323,272178,36,0x0010,1460,16
443,54323,273638,36,0x0018,978,16
54323,443,36,274616,0x0010,0,257
443,54323,274616,36,0x0010,1460,16
443,54323,276076,36,0x0010,1460,16
443,54323,277536,36,0x0018,978,16
54323,443,36,278514,0x0010,0,257
443,54323,278514,36,0x0010,1460,16
443,54323,279974,36,0x0010,1460,16
54323,443,36,281434,0x0010,0,257
443,54323,281434,36,0x0018,978,16
54323,443,36,282412,0x0010,0,253
443,54323,282412,36,0x0010,1460,16
443,54323,283872,36,0x0010,1460,16
54323,443,36,285332,0x0010,0,257
443,54323,285332,36,0x0018,978,16
54323,443,36,286310,0x0010,0,253
443,54323,286310,36,0x0010,1460,16
443,54323,287770,36,0x0010,1460,16
443,54323,289230,36,0x0018,978,16
54323,443,36,290208,0x0010,0,257
443,54323,290208,36,0x0010,1460,16
54323,443,36,291668,0x0010,0,257
443,54323,291668,36,0x0010,1460,16
443,54323,293128,36,0x0018,1010,16
54323,443,36,294138,0x0010,0,257
443,54323,294138,36,0x0010,1460,16
443,54323,295598,36,0x0010,1460,16
443,54323,297058,36,0x0018,1010,16
54323,443,36,298068,0x0010,0,257
443,54323,298068,36,0x0010,1460,16
443,54323,299528,36,0x0010,1460,16
443,54323,300988,36,0x0018,1010,16
54323,443,36,301998,0x0010,0,257
443,54323,301998,36,0x0010,1460,16
443,54323,303458,36,0x0010,1460,16
54323,443,36,304918,0x0010,0,257
443,54323,304918,36,0x0018,1010,16
54323,443,36,305928,0x0010,0,253
443,54323,305928,36,0x0010,1460,16
443,54323,307388,36,0x0010,1460,16
443,54323,308848,36,0x0018,1042,16
54323,443,36,309890,0x0010,0,257
443,54323,309890,36,0x0010,1460,16
443,54323,311350,36,0x0010,1460,16
443,54323,312810,36,0x0018,1042,16
54323,443,36,313852,0x0010,0,257
443,54323,313852,36,0x0010,1460,16
443,54323,315312,36,0x0010,1460,16
443,54323,316772,36,0x0018,1042,16
54323,443,36,317814,0x0010,0,257
54323,443,36,317814,0x0018,35,257
443,54323,317814,71,0x0010,1460,16
443,54323,319274,71,0x0010,1460,16
443,54323,320734,71,0x0018,1042,16
54323,443,71,321776,0x0010,0,257
443,54323,321776,71,0x0010,1460,16
443,54323,323236,71,0x0010,1460,16
443,54323,324696,71,0x0018,1074,16
54323,443,71,325770,0x0010,0,257
443,54323,324696,71,0x0018,1074,16
54323,443,71,325770,0x0010,0,257
443,54323,325770,71,0x0010,1460,16
54323,443,71,327230,0x0010,0,257
443,54323,327230,71,0x0010,1460,16
443,54323,328690,71,0x0018,1074,16
54323,443,71,329764,0x0010,0,257
443,54323,329764,71,0x0010,1460,16
443,54323,331224,71,0x0010,1460,16
54323,443,71,332684,0x0010,0,257
443,54323,332684,71,0x0018,1074,16
443,54323,333758,71,0x0010,1460,16
443,54323,335218,71,0x0010,1460,16
443,54323,336678,71,0x0018,1074,16
54323,443,71,337752,0x0010,0,257
443,54323,337752,71,0x0010,1460,16
443,54323,339212,71,0x0010,1460,16
443,54323,340672,71,0x0018,1074,16
54323,443,71,341746,0x0010,0,257
443,54323,341746,71,0x0010,1460,16
443,54323,343206,71,0x0010,1460,16
54323,443,71,344666,0x0010,0,257
443,54323,344666,71,0x0018,1074,16
54175,443,1,1,0x0010,1,512
54323,443,71,345740,0x0010,0,252
443,54323,345740,71,0x0010,1460,16
443,54323,347200,71,0x0010,1460,16
54323,443,71,348660,0x0010,0,257
443,54323,348660,71,0x0018,1063,16
443,54323,349723,71,0x0010,1460,16
54323,443,71,351183,0x0010,0,257
443,54323,351183,71,0x0010,1460,16
443,54323,352643,71,0x0018,1106,16
54323,443,71,353749,0x0010,0,257
443,54323,353749,71,0x0010,1460,16
443,54323,355209,71,0x0010,1460,16
443,54323,356669,71,0x0018,1106,16
54323,443,71,357775,0x0010,0,257
443,54323,357775,71,0x0010,1460,16
443,54323,359235,71,0x0010,1460,16
54323,443,71,360695,0x0010,0,257
443,54323,360695,71,0x0018,1106,16
54323,443,71,361801,0x0010,0,252
443,54175,1,2,0x0010,0,501
443,54323,361801,71,0x0010,1460,16
443,54323,363261,71,0x0010,1460,16
443,54323,364721,71,0x0018,1138,16
54323,443,71,365859,0x0010,0,257
443,54323,365859,71,0x0010,1460,16
443,54323,367319,71,0x0010,1460,16
443,54323,368779,71,0x0018,1138,16
54323,443,71,369917,0x0010,0,257
443,54323,369917,71,0x0010,1460,16
443,54323,371377,71,0x0010,1460,16
443,54323,372837,71,0x0018,1138,16
54323,443,71,373975,0x0010,0,257
443,54323,375435,71,0x0010,1460,16
443,54323,376895,71,0x0018,1170,16
443,54323,378065,71,0x0010,1460,16
443,54323,379525,71,0x0010,1460,16
443,54323,380985,71,0x0018,1170,16
443,54323,380985,71,0x0018,1170,16
54323,443,71,373975,0x0010,0,257
54323,443,71,373975,0x0010,0,257
54323,443,71,373975,0x0010,0,257
54323,443,71,373975,0x0010,0,257
54323,443,71,373975,0x0010,0,257
54323,443,71,373975,0x0010,0,257
443,54323,373975,71,0x0010,1460,16
54323,443,71,382155,0x0010,0,257
443,54323,382155,71,0x0010,1460,16
443,54323,383615,71,0x0010,1460,16
443,54323,385075,71,0x0018,1170,16
54323,443,71,386245,0x0010,0,257
443,54323,386245,71,0x0010,1460,16
443,54323,387705,71,0x0010,1460,16
443,54323,389165,71,0x0010,1460,16
443,54323,390625,71,0x0010,1460,16
54323,443,71,392085,0x0010,0,257
443,54323,392085,71,0x0018,1460,16
54323,443,71,393545,0x0010,0,257
443,54323,393545,71,0x0010,1460,16
443,54323,395005,71,0x0010,1460,16
443,54323,396465,71,0x0010,1460,16
54323,443,71,397925,0x0010,0,257
443,54323,397925,71,0x0010,1460,16
54323,443,71,399385,0x0010,0,257
443,54323,399385,71,0x0018,1460,16
443,54323,400845,71,0x0010,1460,16
54323,443,71,402305,0x0010,0,257
443,54323,402305,71,0x0010,1460,16
443,54323,403765,71,0x0010,1460,16
443,54323,405225,71,0x0010,1460,16
54323,443,71,406685,0x0010,0,257
443,54323,406685,71,0x0018,22,16
54323,443,71,406707,0x0010,0,256
443,54323,406707,71,0x0010,1460,16
443,54323,408167,71,0x0010,1460,16
443,54323,409627,71,0x0010,1460,16
54323,443,71,411087,0x0010,0,257
443,54323,411087,71,0x0010,1460,16
54323,443,71,412547,0x0010,0,257
443,54323,412547,71,0x0018,1460,16
443,54323,414007,71,0x0018,913,16
54323,443,71,414920,0x0010,0,257
443,54323,414920,71,0x0010,1460,16
443,54323,416380,71,0x0010,1460,16
443,54323,417840,71,0x0018,1202,16
443,54323,419042,71,0x0010,1460,16
54323,443,71,420502,0x0010,0,257
443,54323,420502,71,0x0010,1460,16
443,54323,421962,71,0x0018,1234,16
54323,443,71,423196,0x0010,0,257
443,54323,423196,71,0x0010,1460,16
443,54323,424656,71,0x0010,1460,16
443,54323,426116,71,0x0018,1234,16
54323,443,71,427350,0x0010,0,257
443,54323,427350,71,0x0010,1460,16
54323,443,71,428810,0x0010,0,257
443,54323,428810,71,0x0010,1460,16
443,54323,430270,71,0x0018,1234,16
54323,443,71,431504,0x0010,0,257
443,54323,431504,71,0x0010,1460,16
443,54323,432964,71,0x0010,1460,16
443,54323,434424,71,0x0018,1234,16
54323,443,71,435658,0x0010,0,257
443,54323,435658,71,0x0010,1460,16
443,54323,437118,71,0x0010,1460,16
443,54323,438578,71,0x0018,1266,16
54323,443,71,439844,0x0010,0,257
443,54323,439844,71,0x0018,76,16
54323,443,71,439920,0x0010,0,256
443,54323,439920,71,0x0010,1460,16
443,54323,441380,71,0x0010,1460,16
443,54323,442840,71,0x0018,1266,16
443,54323,444106,71,0x0010,1460,16
54323,443,71,445566,0x0010,0,257
443,54323,445566,71,0x0010,1460,16
443,54323,447026,71,0x0018,1266,16
54323,443,71,448292,0x0010,0,257
443,54323,448292,71,0x0010,1460,16
443,54323,449752,71,0x0010,1460,16
54323,443,71,451212,0x0010,0,257
443,54323,451212,71,0x0018,1266,16
443,54323,452478,71,0x0010,1460,16
54323,443,71,453938,0x0010,0,257
443,54323,453938,71,0x0010,1460,16
443,54323,455398,71,0x0018,1266,16
54323,443,71,456664,0x0010,0,257
443,54323,456664,71,0x0010,1460,16
443,54323,458124,71,0x0010,1460,16
54323,443,71,459584,0x0010,0,257
443,54323,459584,71,0x0018,1266,16
443,54344,1,1,0x0018,31,83
443,54344,32,1,0x0011,0,83
54344,443,1,33,0x0010,0,509
443,54323,460850,71,0x0010,1460,16
443,54323,462310,71,0x0010,1460,16
54323,443,71,463770,0x0010,0,257
443,54323,463770,71,0x0018,1298,16
54323,443,71,465068,0x0010,0,251
443,54323,465068,71,0x0010,1460,16
443,54323,466528,71,0x0010,1460,16
443,54323,467988,71,0x0018,1298,16
54323,443,71,469286,0x0010,0,257
443,54323,469286,71,0x0010,1460,16
443,54323,470746,71,0x0010,1460,16
443,54323,472206,71,0x0018,1298,16
54323,443,71,473504,0x0010,0,257
443,54323,473504,71,0x0010,1460,16
443,54323,474964,71,0x0010,1460,16
54323,443,71,476424,0x0010,0,257
443,54323,476424,71,0x0018,1330,16
443,54323,477754,71,0x0010,1460,16
54323,443,71,479214,0x0010,0,257
443,54323,479214,71,0x0010,1460,16
443,54323,480674,71,0x0018,1330,16
443,54323,482004,71,0x0010,1460,16
443,54323,483464,71,0x0010,1460,16
54323,443,71,484924,0x0010,0,257
443,54323,484924,71,0x0018,1330,16
443,54323,486254,71,0x0010,1460,16
443,54323,487714,71,0x0010,1460,16
443,54323,489174,71,0x0018,1330,16
54323,443,71,490504,0x0010,0,257
443,54323,490504,71,0x0010,1460,16
443,54323,491964,71,0x0010,1460,16
443,54323,493424,71,0x0018,1330,16
54323,443,71,494754,0x0010,0,257
443,54323,494754,71,0x0010,1460,16
443,54323,496214,71,0x0010,1460,16
443,54323,497674,71,0x0018,1330,16
54323,443,71,499004,0x0010,0,257
443,54323,499004,71,0x0010,1460,16
443,54323,500464,71,0x0010,1460,16
443,54323,501924,71,0x0018,1362,16
54323,443,71,503286,0x0010,0,257
443,54323,503286,71,0x0010,1460,16
443,54323,504746,71,0x0010,1460,16
443,54323,506206,71,0x0018,1362,16
54323,443,71,507568,0x0010,0,257
54248,443,1,1,0x0011,0,256
443,54323,507568,71,0x0010,1460,16
443,54323,509028,71,0x0010,1460,16
443,54323,510488,71,0x0018,1362,16
54323,443,71,511850,0x0010,0,257
443,54323,511850,71,0x0010,1460,16
443,54323,513310,71,0x0010,1460,16
54323,443,71,514770,0x0010,0,257
443,54323,514770,71,0x0018,1362,16
54323,443,71,516132,0x0010,0,251
443,54323,516132,71,0x0010,1460,16
443,54323,517592,71,0x0010,1460,16
54323,443,71,519052,0x0010,0,257
443,54323,519052,71,0x0018,1394,16
443,54323,520446,71,0x0010,1460,16
443,54323,521906,71,0x0010,1460,16
443,54323,523366,71,0x0018,1394,16
54323,443,71,524760,0x0010,0,257
443,54323,524760,71,0x0010,1460,16
443,54323,526220,71,0x0010,1460,16
443,54323,527680,71,0x0018,1394,16
54323,443,71,529074,0x0010,0,257
443,54323,529074,71,0x0010,1460,16
54323,443,71,530534,0x0010,0,257
